peringkat_peluang,judul_posisi,penyelenggara,lokasi,lokasi_detail,tingkat_pendidikan,program_studi,hari_kerja_per_minggu,hari_libur,kuota,jumlah_pelamar,deskripsi,kualifikasi,skill_yang_didapat,url,status_scraping,error,rasio_pelamar_per_kuota,estimasi_peluang_sederhana_persen,kategori_persaingan,kota_filter,tanggal_scraping
1,It Technician,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 It Technician Multi Mitra Guna Kota Batam 5 hari/minggu Sarjana, Diploma",Kota Batam,"Kawasan Mega Legenda 2 Blok G3 Lot. 1-7, Batam center, Baloi Permai, Kec. Batam Kota, Kota Batam, Kepulauan Riau 66293, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Teknik Informatika, Teknologi Informasi, Rekayasa Keamanan Siber",5,Minggu Sabtu,2,7,"Mampu membangun, memonitor, dan mengamankan jaringan skala menengah (LAN/WAN), serta mengelola perangkat infrastruktur server secara mandiri dan berdikari",,"IT Network (Network Engineer / Administrator) (6 materi) nfrastruktur Fisik, Server Room, & Layer 1/2 Teori Bulan ke-1 1–30 hari 1. Aturan K3 ruang server, manajemen aset perangkat keras IT, dan dokumentasi inventaris. 2. Praktik instalasi kabel (crimp UTP Cat6/6A), patch panel, dan manajemen penataan kabel di dalam Rak Server 42U. 3. Konfigurasi dasar Switch: VLAN, trunking, inter-VLAN routing, dan port security. Routing, IP Addressing, & Core Network Praktik Bulan ke-2 1–30 hari Desain dan implementasi pengalokasian IP (Subnetting VLSM). Konfigurasi Router: Routing Statik, Routing Dinamis (OSPF/BGP dasar), NAT, dan DHCP Server. Manajemen lalulintas data dan alokasi Bandwidth (Quality of Service - QoS). Wireless Network (WLAN) & Perangkat Monitoring Praktik Bulan ke-3 1–30 hari Setup, pemetaan jangkauan sinyal (site survey), dan instalasi Access Point (AP). Konfigurasi Wireless Controller dan pemisahan SSID (Karyawan vs Tamu). Implementasi Network Monitoring System (NMS) seperti PRTG atau Zabbix, serta monitoring sensor lingkungan (seperti NetBotz). Network Security (Keamanan Jaringan) Praktik Bulan ke-4 1–30 hari Konfigurasi Firewall: Access Control List (ACL), port forwarding, dan blokir situs/aplikasi berbahaya. Implementasi enkripsi jalur komunikasi: Setup VPN (IPsec/WireGuard/OpenVPN) untuk pekerja jarak jauh. Analisis log keamanan dan deteksi dini serangan siber (Port scanning, DDoS dasar). Administrasi Server Dasar & Troubleshooting Lanjutan Praktik Bulan ke-5 1–30 hari Pengenalan virtualisasi (VMware/Proxmox) dan pengelolaan dasar OS Server (Linux/Windows Server). Troubleshooting jaringan skala besar: Menganalisis packet loss, latency, dan gangguan interkoneksi menggunakan Wireshark. Prosedur Backup & Recovery data konfigurasi perangkat jaringan secara berkala. Dokumentasi Total & Proyek Akhir Praktik Bulan ke-6 1–30 hari Audit dan pembaruan menyeluruh peta topologi jaringan (Logical & Physical Network Diagram). Proyek Akhir: Merancang cetak biru peningkatan (upgrade) jaringan di satu area kerja/hub baru, lengkap dengan estimasi perangkat dan konfigurasi keamanannya.",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-technician-a24193f8-b165-4399-94be-7da9ec930891,Berhasil,,3.5,28.57,Relatif rendah,Kota Batam,2026-07-25 22:27:48
2,Programer/ Aplication Developer dan konten kreator (substansi pemeriksaan dan Pokja Pengawasan),Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Programer/ Aplication Developer dan konten kreator (substansi pemeriksaan dan Pokja Pengawasan) Balai POM di Batam Kota Batam 5 hari/minggu Sarjana,Kota Batam,"5469+W37, Jl. Hang Jebat, Sambau, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29465, Indonesia Alamat detail dikasih setelah lamaranmu diterima.",Sarjana,": Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Teknik Komputer Dan Jaringan",5,Sabtu Minggu,1,6,"""- Membangun aplikasi baru - Mengembangkan aplikasi eksisting - Mendesain aplikasi - membuat konten - membantu membuat desain label UMKM ""- membuat 1-3 aplikasi baru - mengembangkan 1-3 aplikasi eksisting - mendesain aplikasi yang dikembangkan - membuat konten kegiatan di subtasnsi pemeriksaan dan pokja pengawasan - membuat desain label produk umkm dampingan BPOM di Batam """,,"Programer/ Aplication Developer dan konten kreator (substansi pemeriksaan dan Pokja Pengawasan) (22 materi) Pengenalan BPOM Teori Bulan ke-1 1–3 hari ""- Pengenalan organisasi BPOM, UPT BPOM dan Tupoksi BPOM - Pengenalan Balai POM di Batam dan Fungsi2 serrta Substansi serta Pegawai BPOM di Batam"" Komunikasi Aplikasi yang akan di bangun di BPOM Batam Teori Bulan ke-2 2–3 hari - Sharing tentang kebutuhan aplikasi dan konsep aplikasi yang akan di bangun Pembangunan Aplikasi sesuai rancangan Praktik Bulan ke-3 4–10 hari - Sharing tentang kebutuhan aplikasi dan konsep aplikasi yang akan di bangun Pembangunan Aplikasi sesuai rancangan lanjutan Praktik Bulan ke-4 4–10 hari - Sharing tentang kebutuhan aplikasi dan konsep aplikasi yang akan di bangun Pembangunan Aplikasi sesuai rancangan lanjutan Praktik Bulan ke-5 4–10 hari - Sharing tentang kebutuhan aplikasi dan konsep aplikasi yang akan di bangun Integrasi Aplikasi ke Web BPOM/ integrasi 1 atau beberapa aplikasi Praktik Bulan ke-6 4–10 hari - Sharing tentang kebutuhan aplikasi dan konsep aplikasi yang akan di bangun Pengenalan aplikasi dan WEB BPOM Batam Teori Bulan ke-1 1–3 hari Memahami aplikasi dan web eksisiting pada BPOM Batam Pengenalan kebutuhan konten di substansi Pemeriksaan dan Pokja Pengawasan Teori Bulan ke-1 1–3 hari - Memahami konsep konten BPOM di Batam Pengenalan pedoman Medsos BPOM di Batam Teori Bulan ke-1 1–3 hari - Memahami Pedoman pembuatan Konten Medsos BPOM di Batam Membuat konten medsos substansi pemeriksaan Praktik Bulan ke-1 5–9 hari - Menghasilkan konten medsos yang siap di publikasikan Uji Coba pembangunan aplikasi berbasis web/mobile Praktik Bulan ke-2 3–5 hari - test Pembuatan aplikasi berbasis web/mobile Membuat konten medsos substansi pemeriksaan Praktik Bulan ke-2 5–7 hari - Menghasilkan konten medsos yang siap di publikasikan Teori tentang Label Pangan Olahan Praktik Bulan ke-2 2–4 hari - Memahami persyaratan label pangan olahan Merancang desain label produk UMKM Praktik Bulan ke-2 2–4 hari - Menghasilkan label produk UMKM dampingan BPOM sesuai dengan persyaratan label Membuat konten medsos substansi pemeriksaan dengan menggunakan AI Praktik Bulan ke-3 5–10 hari - Menghasilkan konten medsos yang siap di publikasikan Merancang desain label produk UMKM Praktik Bulan ke-3 1–2 hari - Menghasilkan label produk UMKM dampingan BPOM sesuai dengan persyaratan label Membuat konten medsos substansi pemeriksaan dengan menggunakan AI lanjutan Praktik Bulan ke-4 5–10 hari - Menghasilkan konten medsos yang siap di publikasikan Merancang desain label produk UMKM lanjutan Praktik Bulan ke-4 1–2 hari - Menghasilkan label produk UMKM dampingan BPOM sesuai dengan persyaratan label Membuat konten medsos substansi pemeriksaan dengan menggunakan AI lanjutan Praktik Bulan ke-5 5–10 hari - Menghasilkan konten medsos yang siap di publikasikan Merancang desain label produk UMKM lanjutan Praktik Bulan ke-5 1–2 hari - Menghasilkan label produk UMKM dampingan BPOM sesuai dengan persyaratan label Membuat konten medsos substansi pemeriksaan dengan menggunakan AI lanjutan Praktik Bulan ke-6 5–10 hari - Menghasilkan konten medsos yang siap di publikasikan Merancang desain label produk UMKM lanjutan Praktik Bulan ke-6 1–2 hari - Menghasilkan label produk UMKM dampingan BPOM sesuai dengan persyaratan label",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/programer-aplication-developer-dan-konten-kreator-substansi-pemeriksaan-dan-pokja-pengawasan-a2441bc3-ae6d-4193-bad9-68e5eab73cbc,Berhasil,,6.0,16.67,Sedang,Kota Batam,2026-07-25 22:27:48
3,Teknologi Informasi,Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Teknologi Informasi Batam Terminal Petikemas Kota Batam 5 hari/minggu Sarjana,Kota Batam,"Jl. Yos Sudarso No.3, Batu Ampar, Kota Batam, Kepulauan Riau 29444, Indonesia Alamat detail dikasih setelah lamaranmu diterima.",Sarjana,": Teknologi Informasi, Sistem Informasi",5,Sabtu Minggu,1,6,"Peserta magang akan terlibat dalam kegiatan Teknologi Informasi (TI) sesuai fungsi unit kerja, kebutuhan perusahaan, dan arahan pembimbing. Ruang lingkup penugasan dapat mencakup dukungan operasional TI, administrasi TI, pengelolaan Infrastruktur dan Pengembangan Sistem Aplikasi, serta kegiatan pendukung lainnya. Penugasan yang diberikan akan disesuaikan dengan kebutuhan operasional perusahaan dan arahan pembimbing selama program magang berlangsung.",,"Teknologi Informasi (6 materi) IT Support & Administrasi Teknologi Informasi Praktik Bulan ke-1 20–30 hari Peserta magang memahami proses administrasi dan operasional layanan Teknologi Informasi di lingkungan PT Batam Terminal Petikemas. Kegiatan meliputi pengenalan infrastruktur TI perusahaan, layanan helpdesk, pengelolaan perangkat komputer, inventaris aset TI, troubleshooting hardware/software, dokumentasi layanan TI, serta membantu aktivitas operasional unit IT sesuai standar perusahaan. Infrastruktur Jaringan dan Sistem Operasi Praktik Bulan ke-2 20–30 hari Peserta magang mempelajari pengelolaan infrastruktur jaringan perusahaan meliputi LAN/WAN, perangkat jaringan, server, sistem operasi, virtualisasi, monitoring jaringan, troubleshooting koneksi, konfigurasi dasar perangkat jaringan, serta penerapan standar keamanan infrastruktur TI untuk mendukung operasional perusahaan. Pengelolaan Aplikasi dan Sistem Informasi Perusahaan Praktik Bulan ke-3 20–30 hari Peserta magang memahami pengelolaan aplikasi perusahaan, aplikasi operasional terminal, aplikasi internal, database aplikasi, integrasi sistem, proses testing aplikasi, dokumentasi kebutuhan pengguna, user support, serta membantu proses improvement dan pengembangan sistem informasi perusahaan. Database, Data Management & Reporting Praktik Bulan ke-4 20–30 hari Peserta magang mempelajari pengelolaan database dan pengolahan data perusahaan meliputi konsep database, SQL dasar, validasi data, backup database, penyusunan laporan, dashboard monitoring, data analytics sederhana, serta mendukung kebutuhan laporan operasional dan manajemen. Cyber Security & IT Governance Praktik Bulan ke-5 20–30 hari Peserta magang memahami penerapan keamanan informasi perusahaan meliputi pengelolaan user access, keamanan perangkat, awareness keamanan siber, backup dan recovery, pengelolaan SOP IT, dokumentasi kebijakan TI, serta penerapan prinsip tata kelola Teknologi Informasi. Digital Transformation & IT Improvement Project Praktik Bulan ke-6 20–30 hari Peserta magang melaksanakan mini project improvement TI sesuai kebutuhan perusahaan seperti pengembangan aplikasi sederhana, otomatisasi proses bisnis, dashboard monitoring, dokumentasi sistem, optimalisasi proses kerja, atau solusi digital lainnya dengan supervisi mentor IT.",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/teknologi-informasi-a2414dc1-af47-4686-9c0d-617617975305,Berhasil,,6.0,16.67,Sedang,Kota Batam,2026-07-25 22:27:48
4,IT Programer,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 IT Programer PT. Dwi Sumber Arca Waja Kota Batam 5 hari/minggu Diploma, Sarjana",Kota Batam,"447R+M8H, Batu Besar, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29466, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Teknik Informatika, Teknik Komputer",5,Sabtu Minggu,1,6,"Menganalisa tools skalabilitas perangkat lunak, struktur data, implementasi user interface with apache royale toul D Jewel, Bahasa pemograman berbasis teks grafik dan multimedia",,"IT Programmer (12 materi) Menganalisis Tools Teori Bulan ke-1 10–10 hari Menganalisa alat dan tools kerja Menggunakan Struktur data Teori Bulan ke-2 10–10 hari Menggunakan Struktur Data Merancang User Experience Praktik Bulan ke-3 10–10 hari Merancang user expreience menggunakan apache royale Tour D Jewel Merancang arsitektur aplikasi Praktik Bulan ke-4 10–10 hari Merancang arsitektur aplikasi SQL Praktik Bulan ke-5 10–10 hari Menggunakan SQL Pemograman Praktik Bulan ke-6 10–10 hari Membuat Kode program menggunakan PHP Menganalisis Skalabilitas Perangkat Lunak Teori Bulan ke-1 10–10 hari Menganalisa skala terhadap perangkat Lunak Implementasi User Interface Praktik Bulan ke-2 10–10 hari Mengimplmentasikan user interface menggunakan Apache Royale Tour D Jewel Implementasikan Rancangan Praktik Bulan ke-3 10–10 hari Mengimplementasikan Rancangan entitas dan keterkaitan antar entitas Pemograman Praktik Bulan ke-4 10–10 hari Menerapkan perintah eksekusi bahasa pemograman berbasis teks, grafik dan multimedia Menerapkan akses basis Data Praktik Bulan ke-5 10–10 hari Menerapkan akses basis Data Uji Program Praktik Bulan ke-6 10–10 hari Menguji Coba kode pemograman",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-programer-a24149a5-2896-4b83-bd3c-0f1b4d943fd4,Berhasil,,6.0,16.67,Sedang,Kota Batam,2026-07-25 22:27:48
5,Pengembang Aplikasi Pemeriksaan dan Sertifikasi,Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Pengembang Aplikasi Pemeriksaan dan Sertifikasi Balai POM di Batam Kota Batam 5 hari/minggu Sarjana,Kota Batam,"5469+W37, Jl. Hang Jebat, Sambau, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29465, Indonesia Alamat detail dikasih setelah lamaranmu diterima.",Sarjana,": Teknik Informatika, Rekayasa Perangkat Lunak, Sistem Informasi",5,Sabtu Minggu,1,7,"""- Mengembangkan fitur E-Satu Pintu, integrasi database, pembuatan dashboard, otomatisasi rekap surat tugas, dan pengembangan notifikasi WhatsApp resmi kepada sarana. - Membantu penyusunan dokumentasi kegiatan, pembuatan konten dan medsos - Membantu proses penandaan sampel""",,"Pengembang Aplikasi Pemeriksaan dan Sertifikasi (6 materi) Pengenalan BPOM Teori Bulan ke-1 1–3 hari ""- Pengenalan organisasi BPOM, UPT BPOM dan Tupoksi BPOM - Pengenalan Balai POM di Batam dan Fungsi2 serrta Substansi serta Pegawai BPOM di Batam"" - Mengembangkan fitur E-Satu Pintu, integrasi database, pembuatan dashboard, otomatisasi rekap surat tugas, dan pengembangan notifikasi WhatsApp resmi kepada sarana. Teori Bulan ke-2 1–3 hari ""- Terbangunnya fitur rekap otomatis surat tugas berdasarkan data pemeriksaan. - Terintegrasinya data pemeriksaan, sertifikasi, dan tindak lanjut dalam satu dashboard. - Terbangunnya sistem notifikasi otomatis melalui WhatsApp kepada sarana untuk pengingat penyampaian CAPA maupun informasi resmi lainnya. - Penyusunan dokumentasi teknis dan panduan penggunaan fitur yang dikembangkan. - Membantu pemeliharaan (maintenance) dan perbaikan bug pada aplikasi E-Satu Pintu. - Pendokumentasian kegiatan pemeriksaan lebih teratur - terpenuhinya timeline penandaan sampel"" - Mengembangkan fitur E-Satu Pintu, integrasi database, pembuatan dashboard, otomatisasi rekap surat tugas, dan pengembangan notifikasi WhatsApp resmi kepada sarana. Praktik Bulan ke-3 3–7 hari ""- Terbangunnya fitur rekap otomatis surat tugas berdasarkan data pemeriksaan. - Terintegrasinya data pemeriksaan, sertifikasi, dan tindak lanjut dalam satu dashboard. - Terbangunnya sistem notifikasi otomatis melalui WhatsApp kepada sarana untuk pengingat penyampaian CAPA maupun informasi resmi lainnya. - Penyusunan dokumentasi teknis dan panduan penggunaan fitur yang dikembangkan. - Membantu pemeliharaan (maintenance) dan perbaikan bug pada aplikasi E-Satu Pintu. - Pendokumentasian kegiatan pemeriksaan lebih teratur - terpenuhinya timeline penandaan sampel"" - Membantu penyusunan dokumentasi kegiatan, pembuatan konten dan medsos Teori Bulan ke-4 1–3 hari ""- Terbangunnya fitur rekap otomatis surat tugas berdasarkan data pemeriksaan. - Terintegrasinya data pemeriksaan, sertifikasi, dan tindak lanjut dalam satu dashboard. - Terbangunnya sistem notifikasi otomatis melalui WhatsApp kepada sarana untuk pengingat penyampaian CAPA maupun informasi resmi lainnya. - Penyusunan dokumentasi teknis dan panduan penggunaan fitur yang dikembangkan. - Membantu pemeliharaan (maintenance) dan perbaikan bug pada aplikasi E-Satu Pintu. - Pendokumentasian kegiatan pemeriksaan lebih teratur - terpenuhinya timeline penandaan sampel"" - Membantu penyusunan dokumentasi kegiatan, pembuatan konten dan medsos Praktik Bulan ke-5 3–7 hari ""- Terbangunnya fitur rekap otomatis surat tugas berdasarkan data pemeriksaan. - Terintegrasinya data pemeriksaan, sertifikasi, dan tindak lanjut dalam satu dashboard. - Terbangunnya sistem notifikasi otomatis melalui WhatsApp kepada sarana untuk pengingat penyampaian CAPA maupun informasi resmi lainnya. - Penyusunan dokumentasi teknis dan panduan penggunaan fitur yang dikembangkan. - Membantu pemeliharaan (maintenance) dan perbaikan bug pada aplikasi E-Satu Pintu. - Pendokumentasian kegiatan pemeriksaan lebih teratur - terpenuhinya timeline penandaan sampel"" - Membantu proses penandaan sampel Praktik Bulan ke-6 3–7 hari ""- Terbangunnya fitur rekap otomatis surat tugas berdasarkan data pemeriksaan. - Terintegrasinya data pemeriksaan, sertifikasi, dan tindak lanjut dalam satu dashboard. - Terbangunnya sistem notifikasi otomatis melalui WhatsApp kepada sarana untuk pengingat penyampaian CAPA maupun informasi resmi lainnya. - Penyusunan dokumentasi teknis dan panduan penggunaan fitur yang dikembangkan. - Membantu pemeliharaan (maintenance) dan perbaikan bug pada aplikasi E-Satu Pintu. - Pendokumentasian kegiatan pemeriksaan lebih teratur - terpenuhinya timeline penandaan sampel""",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengembang-aplikasi-pemeriksaan-dan-sertifikasi-a2441c38-7f66-4a20-a9ec-1d4abd7bae27,Berhasil,,7.0,14.29,Sedang,Kota Batam,2026-07-25 22:27:48
6,IT,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 IT PT. Pioneer Offshore Indo Raya Kota Batam 6 hari/minggu Diploma, Sarjana",Kota Batam,"2WHF+PG Tanjung Uncang, Kota Batam, Kepulauan Riau, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Teknik Komputer, Teknologi Informatika Multimedia Digital",6,Minggu,1,7,"Mempersiapkan, menginstal, dan memperbarui perangkat komputer, laptop, serta sistem operasi. Memastikan koneksi internet stabil, mengelola hak akses jaringan, dan melakukan backup data penting perusahaan secara berkala. Menerapkan langkah keamanan dasar, seperti memperbarui antivirus, melindungi sistem dari malware, dan memastikan data perusahaan tetap aman. Membantu integrasi sistem baru, mengevaluasi infrastruktur IT yang ada, dan memberikan rekomendasi peningkatan teknologi untuk efisiensi bisnis",,"IT Staff (7 materi) Induction and Orientation Teori Bulan ke-1 6–12 hari Proses pengenalan yang dirancang untuk membantu peserta magang beradaptasi ditempat kerja, pengenalan budaya kerja, penyesuaian lingkungan kerja dan tugas. serta pemahaman keselamatan kesehatan kerja K3 Jaringan dan Infrastruktur Praktik Bulan ke-2 15–25 hari Konsep dasar TCP/IP, subnetting, dan routing Pengkabelan (crimping kabel LAN/UTP) dan koneksi jaringan nirkabel (Wi-Fi) Manajemen perangkat jaringan: Hub, Switch, dan Router. Keamanan Informasi dan Data Praktik Bulan ke-3 15–25 hari manajemen Antivirus atau Endpoint Protection. Manajemen hak akses Prosedur pencadangan data (Backup & Recovery). Behaviour Skills Training Praktik Bulan ke-4 15–25 hari penguasaan keterampilan spesifik melalui empat tahapan utama: Instruksi (Instruction), Pemodelan (Modeling), Latihan Peran (Rehearsal), dan Umpan Balik (Feedback) Troubleshooting Praktik Bulan ke-5 15–25 hari Analisis penyebab kerusakan hardware atau software Eskalasi masalah dan penggunaan sistem prosedur Konfigurasi dan perbaikan perangkat Cloud Computing dan Server Praktik Bulan ke-6 15–25 hari Manajemen File Server lokal dan dasar Active Directory / Domain Controller Cloud Services Dasar Perangkat Keras dan Perangkat Lunak Praktik Bulan ke-1 6–12 hari Mengenal komponen komputer Instalasi dan konfigurasi Sistem Operasi Manajemen aplikasi perkantoran, email client, dan browser Aplikasi Software Perkantoran AI",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-a2431ba1-472d-4b8b-8041-4b2a82c0f73d,Berhasil,,7.0,14.29,Sedang,Kota Batam,2026-07-25 22:27:48
7,Maganghub PT Pegadaian (Persero) Kantor Area Batam,Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Maganghub PT Pegadaian (Persero) Kantor Area Batam PT Pegadaian Kantor Wilayah II Pekanbaru Kota Batam 6 hari/minggu Sarjana,Kota Batam,"4325+9C8, Baloi Permai, Batam Kota, Batam City, Riau Islands 29444, Indonesia Alamat detail dikasih setelah lamaranmu diterima.",Sarjana,": Teknik Informatika, Komputer Grafis, Teknik Komputer",6,Minggu,2,15,"Peserta magang dengan latar belakang Teknik Informatika/Komputer akan bertugas dalam mendukung aspek Desain Grafis dan Pengolahan Data operasional. Di bidang kreatif, meliputi pembuatan aset komunikasi visual seperti flyer digital, konten media sosial, infografis, serta materi presentasi untuk mendukung promosi produk Pegadaian dan event literasi keuangan di wilayah Batam. Sementara di bidang data, peserta akan bertugas mengolah raw data kinerja perusahaan, menyusun dashboard performa bulanan menggunakan Excel atau platform visualisasi, serta membantu automasi administrasi IT guna memastikan pelaporan data ke kantor area berjalan cepat, akurat, dan terstruktur.",,"Maganghub PT Pegadaian (Persero) Kantor Area Batam (6 materi) Orientasi Perusahaan, Budaya Kerja & Proses Bisnis dan Layanan Pegadaian Teori Bulan ke-1 24–26 hari Mengenal profil PT Pegadaian, visi dan misi, struktur organisasi, budaya AKHLAK BUMN, tata tertib perusahaan, keselamatan dan kesehatan kerja (K3), serta memahami tugas dan fungsi unit kerja tempat magang, Mempelajari proses bisnis PT Pegadaian, produk dan layanan (gadai, pembiayaan, tabungan emas, investasi emas, dan layanan digital), serta standar operasional prosedur (SOP) dalam pelayanan kepada nasabah. Administrasi dan Pengelolaan Data 1 Praktik Bulan ke-2 24–26 hari Melakukan pengarsipan dokumen, mengelola data administrasi, menggunakan aplikasi perkantoran (Microsoft Word dan Excel dan aplikasi lainnya), menyusun laporan sederhana, serta menjaga kerahasiaan data perusahaan. Administrasi dan Pengelolaan Data 2 Praktik Bulan ke-3 24–26 hari Melakukan pengarsipan dokumen, mengelola data administrasi, menggunakan aplikasi perkantoran (Microsoft Word dan Excel dan aplikasi lainnya), menyusun laporan sederhana, serta menjaga kerahasiaan data perusahaan. Implementasi Pekerjaan Lanjutan Praktik Bulan ke-4 24–26 hari Terlibat langsung dalam kegiatan operasional sesuai divisi, membantu pelaksanaan administrasi dan pelayanan, melakukan monitoring pekerjaan, serta memahami penyelesaian kendala yang terjadi di lapangan. Pengembangan Kompetensi dan Inovasi Kerja Praktik Bulan ke-5 24–26 hari Menerapkan kemampuan komunikasi, kerja sama tim, pelayanan prima (service excellence), problem solving, serta memberikan usulan atau ide perbaikan terhadap proses kerja yang lebih efektif dan efisien. Evaluasi, Penyusunan Laporan, dan Presentasi Hasil Magang Praktik Bulan ke-6 24–26 hari Menyusun laporan akhir magang, mendokumentasikan hasil kegiatan dan capaian kompetensi, melakukan evaluasi bersama pembimbing, serta mempresentasikan hasil magang kepada pihak perusahaan.",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/maganghub-pt-pegadaian-persero-kantor-area-batam-a240f1f4-f1cc-498d-88f0-777d2333125e,Berhasil,,7.5,13.33,Sedang,Kota Batam,2026-07-25 22:27:48
8,IT Intern,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 IT Intern PT Synergy Oil Nusantara Kota Batam 5 hari/minggu Diploma, Sarjana",Kota Batam,"JL. Raya Pelabuhan Kabil No.Km 12, RW.5, Kabil, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29467, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Teknik Informatika, Teknik Komputer Dan Jaringan, Teknik Komputer",5,Sabtu Minggu,1,9,"1.Instalasi dan Pengaturan komputer kerja dan server. 2.Pemeliharaan dan monitoring computer. 3.Troubleshooting sistem dan permasalahan jaringan komputer dan penyelesaian masalah hardware dan software yang rusak. 4.Instalasi, pengaturan dan pemeliharaan peralatan komputer jaringan dan software seperti mouse, printer, switch dll. 5.Evaluasi kebutuhan jaringan computer. 6.Melakukan Back up data dan recovery data. 7.Melakukan upgrade software dan hadrware jika di perlukan. 8.Memberikan training untuk user yang berhubungan dengan aplikasi computer. 9.Mencoba dan evaluasi teknologi terbaru. 10.Bertanggung jawab untuk sistem komunikasi dan PABX. 11.Membantu user untuk permasalahan computer. 12.Bertanggung jawab untuk semua peralatan komputer dan jaringan",,"IT (6 materi) Company & IT Orientation Praktik Bulan ke-1 14–21 hari Pengenalan perusahaan, struktur organisasi IT, kebijakan keamanan informasi, SOP IT, penggunaan tools internal (Email, Helpdesk, Asset Management), serta etika kerja dan K3 IT Support & Helpdesk Praktik Bulan ke-2 14–21 hari Mempelajari proses penanganan tiket, instalasi sistem operasi Windows, Microsoft Office, printer, troubleshooting hardware & software, remote support, serta dokumentasi penyelesaian masalah Computer Network Fundamentals Praktik Bulan ke-3 14–21 hari Memahami konsep jaringan LAN/WAN, TCP/IP, IP Address, Subnetting, DNS, DHCP, konfigurasi router & switch dasar, Wi-Fi, serta troubleshooting jaringan. Server Administration & Security Praktik Bulan ke-4 14–21 hari Pengenalan Windows/Linux Server, Active Directory, File Sharing, User Management, Backup & Restore, Antivirus, Firewall, Patch Management, serta dasar keamanan siber IT Infrastructure & Asset Management Praktik Bulan ke-5 14–21 hari Monitoring infrastruktur IT, preventive maintenance komputer, inventaris aset IT, manajemen lisensi software, dokumentasi konfigurasi, serta monitoring jaringan dan server Final Project & Evaluation Praktik Bulan ke-6 14–21 hari Mengerjakan proyek implementasi/perbaikan di lingkungan IT (misalnya dokumentasi jaringan, deployment PC, sistem monitoring, atau automasi sederhana), presentasi hasil, evaluasi kompetensi, dan penyusunan laporan magang",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-intern-a24106de-98eb-4459-8453-0d95a1d2d01e,Berhasil,,9.0,11.11,Sedang,Kota Batam,2026-07-25 22:27:48
