peringkat_peluang,judul_posisi,penyelenggara,lokasi,lokasi_detail,tingkat_pendidikan,program_studi,hari_kerja_per_minggu,hari_libur,kuota,jumlah_pelamar,deskripsi,kualifikasi,skill_yang_didapat,url,status_scraping,error,rasio_pelamar_per_kuota,estimasi_peluang_sederhana_persen,kategori_persaingan,tanggal_scraping
1,Secured Loan & Card Business Department,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Secured Loan & Card Business Department PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Akuntansi, Hukum",5,Sabtu Minggu,1,6,"Melakukan penyaluran pinjaman beragunan (seperti KPR atau kredit multiguna) dan penerbitan produk kartu kredit, Tugasnya :1. Akuisisi dan Sales: Memasarkan produk pinjaman dengan agunan (seperti properti/deposito) serta penawaran kartu kredit kepada nasabah baru2. Memverifikasi dokumen, melakukan investigasi latar belakang, dan menganalisis risiko calon peminjam3. Melakukan menilai risiko dan kemampuan bayar nasabah sebelum pinjaman dicairkan.",,"Brilian Internship Assistant (6 materi) Business Support Praktik Bulan ke-1 15–30 hari 1. Mampu melakukan prosespen golahan dan analisa data diUnit Kerja 2. Mampu menyusun rencana kerja untuk mendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari Mampu melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari 1. Memahami etika dan cara komunikasi yang efektif 2. Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank,produkdanjasabank,serta Struktur Organisasi Bank Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompetensi terkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/secured-loan-&-card-business-department-a23702dc-a389-43f7-a645-d1972e626d50,Berhasil,,6.0,16.67,Sedang,2026-07-25 21:14:53
2,Small Business Department,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Small Business Department PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Manajemen Pemasaran/Marketing, Hukum",5,Minggu Sabtu,1,7,1. Melakukan proses pengolahan data analisa di Small Business Department2. Melakukan proses Administrasi di Small Business Department3. Melakukan Penyusun materi komunikasi dan mengkomunikasikan materi4. Merekap Data Pencairan Setiap BRI Cabang Setiap hari5. Melakukan Pengecekan Nasabah yang Sudah Jatuh tempo,,"Brilian Internship Assistant (6 materi) Business Support Praktik Bulan ke-1 15–30 hari 1. Mampu melakukan prosespen golahan dan analisa data diUnit Kerja 2. Mampu menyusun rencana kerja untuk mendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari Mampu melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari 1. Memahami etika dan cara komunikasi yang efektif 2. Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank,produkdanjasabank,serta Struktur Organisasi Bank Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompetensi terkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/small-business-department-a23935f5-e7f5-4a0b-8222-088b7b836a8b,Berhasil,,7.0,14.29,Sedang,2026-07-25 21:14:53
3,Credit Restructuring & Recovery Team,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Credit Restructuring & Recovery Team PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Akuntansi, Hukum",5,Sabtu Minggu,1,7,1. Melakukan administrasi operasional Credit Restructuring & Recovery2. Melakukan menyajikan laporan pelaksanaan pekerjaan Team3. Melakukan Pengelolahan data Credit Restructuring & Recovery,,"Brilian Internship Assistant (6 materi) Business Support Praktik Bulan ke-1 15–30 hari 1. Mampu melakukan prosespen golahan dan analisa data diUnit Kerja 2. Mampu menyusun rencana kerja untuk mendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari Mampu melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari 1. Memahami etika dan cara komunikasi yang efektif 2. Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank,produkdanjasabank,serta Struktur Organisasi Bank Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompetensi terkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/credit-restructuring-&-recovery-team-a2390c32-a143-4de6-bdef-4e9c6d49506a,Berhasil,,7.0,14.29,Sedang,2026-07-25 21:14:53
4,Micro Ecosystems 1 Department,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Micro Ecosystems 1 Department PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Akuntansi, Manajemen Pemasaran/Marketing",5,Sabtu Minggu,1,8,1. melakukan proses pengolahan dan analisa data Nasabah2. menyusun rencana kerja Buat Para Marketing Micro3. Melakukan administrasi operasional Micro Ecosystem Department,,"Brilian Internship Assistant Relationship Bisnis Micro (6 materi) Business Support Praktik Bulan ke-1 15–30 hari Mampu melakukan proses pengolahan dan analisadatadiUnit Kerja, Mampumenyusunrencanakerjauntukmendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari Memahami etika dan cara komunikasi yang efektif, Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank, produkdan jasabank, serta Struktur Organisasi Bank. Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan. Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompeten siterkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/micro-ecosystems-1-department-a23909b5-a249-460d-b5bc-454d0c356b1f,Berhasil,,8.0,12.5,Sedang,2026-07-25 21:14:53
5,Consumer Loan Factory Team,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Consumer Loan Factory Team PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Akuntansi, Hukum",5,Minggu Sabtu,1,8,"1. Melakukan administrasi operasional dan bisnis Consumer Loan Factory2. Melakukan Analisis riwayat keuangan, skor kredit, dan kemampuan membayar calon nasabah3. Melakukan Mengumpulkan, memverifikasi, dan memastikan keabsahan berkas pengajuan kredit nasabah4. Memberikan konsultasi produk keuangan, serta menangani administrasi hingga pemantauan kelancaran pembayaran angsuran.",,"Brilian Internship Assistant (6 materi) Business Support Praktik Bulan ke-1 15–30 hari 1. Mampu melakukan prosespen golahan dan analisa data diUnit Kerja 2. Mampu menyusun rencana kerja untuk mendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari Mampu melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari 1. Memahami etika dan cara komunikasi yang efektif 2. Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank,produkdanjasabank,serta Struktur Organisasi Bank Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompetensi terkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/consumer-loan-factory-team-a2390ee6-4241-4182-990c-f2e369840941,Berhasil,,8.0,12.5,Sedang,2026-07-25 21:14:53
6,Unsecured Loan Department,"Panduan FAQ Pendaftaran Masuk Beranda Lowongan Magang Detail Lowongan Batch 1 · 2026 Unsecured Loan Department PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru Kota Pekanbaru 5 hari/minggu Diploma, Sarjana",Kota Pekanbaru,"Gedung Menara BRI, Jl. Jend. Sudirman No.12, Tangkerang Tengah, Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia Alamat detail dikasih setelah lamaranmu diterima.","Diploma, Sarjana",": Manajemen, Administrasi, Sistem Informasi, Akuntansi, Hukum",5,Sabtu Minggu,1,8,"1. melakukan proses pengolahan dan analisa data Nasabah Pinjaman (seperti Kredit Tanpa Agunan atau KTA)2. Melakukan Verifikasi Data Awal Seperti Mengumpulkan dan memeriksa kelengkapan dokumen persyaratan seperti KTP, slip gaji, dan mutasi rekening.3. Melakukan Analisis Kelayakan: Memastikan profil peminjam sesuai dengan kriteria risiko",,"Brilian Internship Assistant (6 materi) Business Support Praktik Bulan ke-1 15–30 hari 1. Mampu melakukan prosespen golahan dan analisa data diUnit Kerja 2. Mampu menyusun rencana kerja untuk mendukungproses operasional dan bisnis di Unit Kerja General Administration Praktik Bulan ke-2 15–30 hari Mampu melaksanakan kegiatan administrasi operasional dan bisnis di Unit Kerja BRI Communication Skill Praktik Bulan ke-3 15–30 hari 1. Memahami etika dan cara komunikasi yang efektif 2. Mampu menyusun materi komunikasi dan mengkomunikasikan materi dengan efektif General Banking Praktik Bulan ke-4 15–30 hari Memahami fungsibank,produkdanjasabank,serta Struktur Organisasi Bank Reporting Praktik Bulan ke-5 15–30 hari Mampu membuat dan menyajikan laporan pelaksanaan pekerjaan Educational Implementation Praktik Bulan ke-6 15–30 hari Mampu menggunakan skill kompetensi terkait bidang study pada pekerjaan yang dilakukan",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/unsecured-loan-department-a236ff30-b246-4c08-9020-c259970740b8,Berhasil,,8.0,12.5,Sedang,2026-07-25 21:14:53
